Bank_Transaction_ID,Transaction_Ref,Date,Bank_Amount,Bank_Account,Reconciliation_Status
BTXN-800046,TXN-500046,2025-11-24,15490.15,6684124526,Matched
BTXN-800047,TXN-500047,2024-08-16,1801.03,3495949737,Matched
BTXN-800048,TXN-500048,2024-09-14,8027.29,1835500678,Matched
BTXN-800049,TXN-500049,2025-03-28,12579.21,3276067189,Matched
BTXN-800050,TXN-500050,2010-01-01,9087.92,4443668490,Matched
BTXN-800051,TXN-500051,2025-09-21,3449.25,6537835976,Matched
BTXN-800052,TXN-500052,2025-09-23,16808.05,4705765785,Matched
BTXN-800053,TXN-500053,2024-08-09,13332.23,5559627147,Matched
BTXN-800054,TXN-500054,2024-07-20,967.71,9643237319,Matched
BTXN-800055,TXN-500055,2025-09-12,742.21,2358652268,Matched
BTXN-800056,TXN-500056,2024-05-07,14140.4,4767439432,Matched
BTXN-800057,TXN-500057,2024-10-20,11425.53,5865083088,Matched
BTXN-800058,TXN-500058,2030-12-25,17225.81,4060000731,Matched
BTXN-800059,TXN-500059,2024-02-16,10281.32,6439922069,Matched
BTXN-800060,TXN-500060,2025-04-24,15576.94,1641047194,Matched
BTXN-800061,TXN-500061,2025-09-25,19263.77,3734899359,Matched
BTXN-800062,TXN-500062,2024-07-09,7304.14,1128511305,Matched
BTXN-800063,TXN-500063,2024-05-27,1273.78,6555511007,Matched
BTXN-800064,TXN-500064,2025-11-13,1617.21,5765767836,Matched
BTXN-800065,TXN-500065,2025-03-17,13872.75,7355914753,Matched
BTXN-800066,TXN-500066,2025-10-07,18251.1,7091895534,Matched
BTXN-800067,TXN-500067,2024-12-25,12512.38,8360848736,Matched
BTXN-800068,TXN-500068,2024-07-04,11769.21,8912247042,Matched
BTXN-800069,TXN-500069,2025-05-11,5830.38,8292386844,Matched
BTXN-800070,TXN-500070,2024-12-10,338.69,1462079715,Matched
BTXN-800071,TXN-500071,2024-06-29,9044.96,7384845232,Matched
BTXN-800072,TXN-500072,2010-01-01,19547.13,9382565337,Matched
BTXN-800073,TXN-500073,2024-04-01,968.86,5126010028,Matched
BTXN-800074,TXN-500074,2024-07-07,16535.8,1321980126,Matched
BTXN-800075,TXN-500075,2024-04-21,2012.25,4447352282,Matched
BTXN-800076,TXN-500076,2025-10-19,2402.2,8202424377,Matched
BTXN-800077,TXN-500077,2025-04-01,8183.74,1653794167,Matched
BTXN-800078,TXN-500078,2024-07-02,7331.91,5798101352,Matched
BTXN-800079,TXN-500079,2025-04-27,18891.68,7244863941,Matched
BTXN-800080,TXN-500080,2024-12-18,134.67,3247360951,Matched
BTXN-800081,TXN-500081,2025-04-29,4235.71,8301117013,Matched
BTXN-800082,TXN-500082,2024-02-28,6095.2,8632831675,Matched
BTXN-800083,TXN-500083,2025-03-23,18942.44,1711010502,Matched
BTXN-800084,TXN-500084,2025-03-05,9734.57,8042976626,Matched
BTXN-800085,TXN-500085,2025-11-09,15875.99,3295327558,Matched
BTXN-800086,TXN-500086,2024-09-18,3065.78,4133632529,Matched
BTXN-800087,TXN-500087,2025-02-26,10332.44,4672661650,Matched
BTXN-800088,TXN-500088,2025-07-11,5523.68,1101485784,Matched
BTXN-800089,TXN-500089,2024-09-14,8921.3,7176958555,Matched
BTXN-800090,TXN-500090,2024-07-25,2451.72,7318389277,Matched
BTXN-800091,TXN-500091,2025-10-07,1946.11,6097264958,Matched
BTXN-800092,TXN-500092,2024-01-28,9601.98,7415586104,Matched
BTXN-800093,TXN-500093,2025-03-17,16434.54,8741211212,Matched
BTXN-800094,TXN-500094,2024-04-09,8836.07,3202468635,Matched
BTXN-800095,TXN-500095,2025-11-12,3822.85,4025782566,Matched
BTXN-800096,TXN-500096,2025-06-07,340.79,2122824879,Partial
BTXN-800097,TXN-500097,2024-01-27,3217.87,3023404496,Matched
BTXN-800098,TXN-500098,2025-04-13,6244.58,6672597018,Matched
BTXN-800099,TXN-500099,2024-06-14,11350.71,5769472362,Matched
BTXN-800100,TXN-500100,2024-08-10,3766.39,5799840210,Matched
BTXN-800101,TXN-500101,2024-11-10,15088.42,6525736255,Matched
BTXN-800102,TXN-500102,2024-12-08,4375.06,8156882420,Matched
BTXN-800103,TXN-500103,2024-04-07,1225.39,4195975369,Matched
BTXN-800104,TXN-500104,2024-11-10,8064.06,5196917358,Matched
BTXN-800105,TXN-500105,2025-04-05,7224.18,6170947509,Matched
BTXN-800106,TXN-500106,2030-12-25,8982.51,1736044442,Matched
BTXN-800107,TXN-500107,2025-03-14,18715.19,5100038294,Matched
BTXN-800108,TXN-500108,2024-05-02,18101.3,1887329789,Matched
BTXN-800109,TXN-500109,2024-12-16,7693.68,1843168127,Matched
BTXN-800110,TXN-500110,2024-07-16,12450.58,7347469020,Matched
BTXN-800111,TXN-500111,2025-05-02,15507.92,5779095620,Matched
BTXN-800112,TXN-500112,2025-07-25,8609.28,3253406409,Matched
BTXN-800113,TXN-500113,2024-10-27,19133.32,3944277445,Matched
BTXN-800114,TXN-500114,2024-07-08,12842.89,7281499163,Matched
BTXN-800115,TXN-500115,2024-11-19,15753.08,9598457059,Matched
BTXN-800116,TXN-500116,2024-07-13,12399.99,8595968566,Matched
BTXN-800117,TXN-500117,2025-11-15,7478.43,8079734501,Matched
BTXN-800118,TXN-500118,2030-12-25,18061.01,2630771424,Matched
BTXN-800119,TXN-500119,2010-01-01,14209.73,7068387489,Matched
BTXN-800120,TXN-500120,2024-04-14,809.08,4524905517,Matched
BTXN-800121,TXN-500121,2025-04-08,5850.35,5110600778,Matched
BTXN-800122,TXN-500122,2024-05-06,11557.97,1755693210,Matched
BTXN-800123,TXN-500123,2025-01-04,4065.47,8000729583,Matched
BTXN-800124,TXN-500124,2025-01-31,12145.07,8540753659,Matched
BTXN-800125,TXN-500125,2025-05-31,8136.13,4764047447,Matched
BTXN-800126,TXN-500126,2025-02-28,12190.65,9614186505,Matched
BTXN-800127,TXN-500127,2025-12-22,7456.64,6093382039,Matched
BTXN-800128,TXN-500128,2025-12-14,3841.02,6615312925,Matched
BTXN-800129,TXN-500129,2024-07-03,5409.97,6541878873,Matched
BTXN-800130,TXN-500130,2025-06-16,10043.63,3186596298,Matched
BTXN-800131,TXN-500131,2025-09-26,15982.93,2975185576,Matched
BTXN-800132,TXN-500132,2024-01-22,11141.27,8802070121,Matched
BTXN-800133,TXN-500133,2025-03-01,488.38,8694489822,Matched
BTXN-800134,TXN-500134,2025-09-30,7495.39,4958207362,Matched
BTXN-800135,TXN-500135,2024-08-10,8748.47,3126576637,Matched
BTXN-800136,TXN-500136,2025-12-18,12558.61,7359642246,Matched
BTXN-800137,TXN-500137,2025-06-21,15458.99,2550844181,Matched
BTXN-800138,TXN-500138,2025-12-22,14429.57,8419218002,Matched
BTXN-800139,TXN-500139,2025-09-24,14872.95,9769570212,Matched
BTXN-800140,TXN-500140,2024-11-02,4635.4,1847961742,Matched
BTXN-800141,TXN-500141,2024-11-13,7129.87,3624984271,Matched
BTXN-800142,TXN-500142,2025-02-13,14343.37,1134361337,Matched
BTXN-800143,TXN-500143,2025-08-25,1229.06,3032083136,Matched
BTXN-800144,TXN-500144,2025-03-03,1816.09,8390196676,Matched
BTXN-800145,TXN-500145,2025-12-27,11731.61,3641996641,Matched
BTXN-800146,TXN-500146,2025-12-12,15897.68,2239270108,Matched
BTXN-800147,TXN-500147,2024-04-11,782.39,2387240826,Matched
BTXN-800148,TXN-500148,2025-04-03,15081.53,8102825475,Matched
BTXN-800149,TXN-500149,2025-06-29,8734.29,6608480863,Matched
BTXN-800150,TXN-500150,2025-06-27,19717.89,9485783537,Matched
BTXN-800151,TXN-500151,2025-07-24,7474.95,4080955627,Matched
BTXN-800152,TXN-500152,2024-11-10,10768.59,6817878789,Partial
BTXN-800153,TXN-500153,2024-12-18,13980.61,1552492991,Matched
BTXN-800154,TXN-500154,2025-04-28,5126.84,6745890343,Matched
BTXN-800155,TXN-500155,2024-02-07,17497.66,7972950384,Partial
BTXN-800156,TXN-500156,2025-02-09,19938.77,4938159975,Matched
BTXN-800157,TXN-500157,2025-05-05,689.29,3451177970,Matched
BTXN-800158,TXN-500158,2024-09-25,12588.72,7430994242,Matched
BTXN-800159,TXN-500159,2025-04-01,13207.95,2442522446,Matched
BTXN-800160,TXN-500160,2024-07-30,17825.0,7139155094,Matched
BTXN-800161,TXN-500061,2025-10-20,4059.02,4116531689,Matched
BTXN-800162,TXN-500162,2024-03-11,2288.24,5739260900,Matched
BTXN-800163,TXN-500163,2024-10-29,14922.22,2071131334,Matched
BTXN-800164,TXN-500164,2025-04-29,5717.2,4850947593,Matched
BTXN-800165,TXN-500165,2024-12-30,18887.82,6374342653,Matched
BTXN-800166,TXN-500166,2024-08-29,16974.5,8614106159,Matched
BTXN-800167,TXN-500167,2024-11-06,8091.28,8942559690,Matched
BTXN-800168,TXN-500168,2024-03-14,13959.79,4584707694,Matched
BTXN-800169,TXN-500169,2024-04-12,10304.6,9575518614,Matched
BTXN-800170,TXN-500170,2024-12-10,10805.29,4161618950,Matched
BTXN-800171,TXN-500171,2025-08-21,6261.2,4539863742,Matched
BTXN-800172,TXN-500172,2024-03-01,5665.95,8426586302,Matched
BTXN-800173,TXN-500173,2024-05-10,10037.67,4306018869,Matched
BTXN-800174,TXN-500174,2025-12-16,18339.89,1737733853,Matched
BTXN-800175,TXN-500175,2025-11-15,7020.07,3069263491,Matched
BTXN-800176,TXN-500176,2025-11-20,5103.64,8883699942,Matched
BTXN-800177,TXN-500177,2025-11-09,12481.64,2011899015,Matched
BTXN-800178,TXN-500178,2024-05-15,254.14,4728744203,Matched
BTXN-800179,TXN-500179,2025-08-30,19532.76,1865122548,Matched
BTXN-800180,TXN-500180,2010-01-01,5456.67,9517516709,Matched
BTXN-800181,TXN-500181,2024-12-08,16537.1,6924411014,Matched
BTXN-800182,TXN-500182,2024-01-23,5888.78,2127748722,Matched
BTXN-800183,TXN-500183,2024-05-13,463.47,9705499003,Partial
BTXN-800184,TXN-500184,2024-12-23,12757.46,2191378278,Matched
BTXN-800185,TXN-500185,2024-02-09,13270.82,6690131461,Matched
BTXN-800186,TXN-500186,2024-09-26,16447.5,3981110431,Matched
BTXN-800187,TXN-500187,2024-09-24,793.56,9513871593,Matched
BTXN-800188,TXN-500188,2025-12-26,5353.92,6832784702,Matched
BTXN-800189,TXN-500189,2024-05-17,9964.67,7287163824,Matched
BTXN-800190,TXN-500190,2025-05-18,8643.07,8668179028,Matched
BTXN-800191,TXN-500191,2024-03-13,18663.72,1402147429,Matched
BTXN-800192,TXN-500192,2025-07-03,7619.54,3911162087,Matched
BTXN-800193,TXN-500193,2025-07-01,3062.44,7817074513,Matched
BTXN-800194,TXN-500194,2025-04-02,8191.01,6192194858,Matched
BTXN-800195,TXN-500195,2025-11-20,17578.44,4169830111,Matched
BTXN-800196,TXN-500196,2024-09-02,15248.85,9194332201,Matched
BTXN-800197,TXN-500197,2025-02-26,9693.63,1312668745,Matched
BTXN-800198,TXN-500198,2025-05-08,249.29,3062428569,Matched
BTXN-800199,TXN-500199,2024-06-13,10302.88,9909936433,Matched
BTXN-800200,TXN-500200,2025-07-03,3329.48,1965014382,Matched
BTXN-800201,TXN-500201,2024-03-16,13071.95,5313446396,Partial
BTXN-800202,TXN-500202,2025-09-10,19751.04,9579042629,Matched
BTXN-800203,TXN-500203,2025-07-12,5563.78,9083895528,Matched
BTXN-800204,TXN-500204,2025-05-07,3547.81,4793387255,Matched
BTXN-800205,TXN-500205,2025-03-17,12499.06,9890015279,Matched
BTXN-800206,TXN-500206,2025-08-17,8784.7,6540334309,Matched
BTXN-800207,TXN-UNKN-7049,2024-11-04,4842.85,8165169267,Missing
BTXN-800208,TXN-500208,2025-12-26,845.11,5247721347,Matched
BTXN-800209,TXN-500209,2025-10-21,2768.98,7904192499,Matched
BTXN-800210,TXN-500210,2024-06-20,17345.45,8912160869,Matched
BTXN-800211,TXN-500211,2024-06-12,1336.27,2350933836,Matched
BTXN-800212,TXN-500212,2024-07-25,9608.66,1397554176,Matched
BTXN-800213,TXN-500213,2024-03-11,2713.94,5668456097,Matched
BTXN-800214,TXN-500214,2025-01-12,12689.04,8279737284,Matched
BTXN-800215,TXN-500215,2024-11-21,14065.81,1922344332,Matched
BTXN-800216,TXN-500216,2025-10-14,19371.68,5612233060,Matched
BTXN-800217,TXN-500217,2024-04-06,10297.08,3319156974,Matched
BTXN-800218,TXN-500218,2025-04-17,15955.33,8269044054,Matched
BTXN-800219,TXN-500019,2024-09-04,10942.31,2199519350,Matched
BTXN-800220,TXN-500220,2024-06-15,10040.05,3750636980,Matched
BTXN-800221,TXN-500221,2024-12-12,4809.02,6924588288,Matched
BTXN-800222,TXN-500222,2025-02-18,15135.18,6134851443,Matched
BTXN-800223,TXN-500223,2024-02-02,911.84,8104753479,Matched
BTXN-800224,TXN-500224,2024-03-24,18122.54,7013694122,Matched
BTXN-800225,TXN-500225,2025-05-03,5049.63,4119177900,Matched
BTXN-800226,TXN-500226,2025-03-10,10832.2,1337776148,Matched
BTXN-800227,TXN-500227,2024-11-06,4348.7,5741022033,Matched
BTXN-800228,TXN-500228,2025-09-11,946.53,2812498699,Matched
BTXN-800229,TXN-500229,2025-04-07,12953.04,7297023049,Matched
BTXN-800230,TXN-500230,2025-05-03,11861.39,7736288667,Matched
BTXN-800231,TXN-500231,2024-07-26,11516.55,5820413433,Matched
BTXN-800232,TXN-500232,2024-12-13,14036.54,3804871310,Matched
BTXN-800233,TXN-500233,2025-08-23,13627.48,8456953184,Matched
BTXN-800234,TXN-500234,2025-10-21,5870.63,9389519159,Matched
BTXN-800235,TXN-500235,2024-10-08,19248.76,9150405532,Matched
BTXN-800236,TXN-500236,2030-12-25,4209.53,7238499423,Matched
BTXN-800237,TXN-500237,2010-01-01,1148.44,6103342311,Matched
BTXN-800238,TXN-500238,2025-09-06,5630.38,4754908177,Matched
BTXN-800239,TXN-500239,2025-12-21,5493.88,7695448629,Matched
BTXN-800240,TXN-500240,2025-08-20,10901.53,1455333444,Matched
BTXN-800241,TXN-500241,2025-12-31,553.13,5609077922,Matched
BTXN-800242,TXN-500242,2025-03-12,16469.14,8533719239,Matched
BTXN-800243,TXN-500243,2024-02-22,4559.62,2518571086,Matched
BTXN-800244,TXN-500244,2024-09-03,17465.06,1962741831,Matched
BTXN-800245,TXN-500245,2030-12-25,2469.93,7170587382,Matched
BTXN-800246,TXN-500246,2024-05-10,15656.03,1713019972,Matched
BTXN-800247,TXN-500247,2025-08-26,9176.78,9602899488,Matched
BTXN-800248,TXN-500248,2024-11-30,19145.28,7210840494,Matched
BTXN-800249,TXN-500249,2024-02-28,16803.75,6447374803,Matched
BTXN-800250,TXN-500250,2025-02-06,6131.1,5661440646,Matched
BTXN-800251,TXN-UNKN-9364,2024-04-02,6803.92,3125032871,Missing
BTXN-800252,TXN-500252,2024-07-06,8851.24,1141397234,Matched
BTXN-800253,TXN-500253,2024-10-14,13968.18,1970395467,Matched
BTXN-800254,TXN-500254,2024-07-28,19860.83,5075599387,Matched
BTXN-800255,TXN-500255,2024-06-18,4510.31,5879361548,Matched
BTXN-800256,TXN-500256,2025-12-16,17845.15,5272660006,Matched
BTXN-800257,TXN-500257,2025-06-26,16188.93,1356646866,Matched
BTXN-800258,TXN-500258,2025-02-20,15778.77,8969451276,Matched
BTXN-800259,TXN-500259,2024-06-03,3352.07,1113967394,Matched
BTXN-800260,TXN-500260,2025-01-18,5041.65,8078092569,Matched
BTXN-800261,TXN-500261,2025-06-26,14789.79,2526159351,Matched
BTXN-800262,TXN-UNKN-7395,2024-05-21,6552.86,3251347791,Missing
BTXN-800263,TXN-500263,2025-07-24,1997.08,6894607316,Matched
BTXN-800264,TXN-500264,2024-11-06,7633.42,2598227490,Matched
BTXN-800265,TXN-500265,2025-01-20,651.9,9729344559,Matched
BTXN-800266,TXN-UNKN-2505,2024-01-14,13816.83,5804116197,Missing
BTXN-800267,TXN-500267,2025-05-03,5218.29,9336716135,Matched
BTXN-800268,TXN-500268,2024-12-16,1747.0,7641855594,Matched
BTXN-800269,TXN-500269,2010-01-01,12705.7,9982902314,Matched
BTXN-800270,TXN-500270,2025-05-16,14902.96,4170216739,Matched
BTXN-800271,TXN-500271,2025-12-26,6377.41,4464709600,Matched
BTXN-800272,TXN-500272,2025-08-28,8017.53,4175803783,Matched
BTXN-800273,TXN-UNKN-2860,2024-07-17,17801.99,9123298475,Missing
BTXN-800274,TXN-500274,2024-08-16,19377.65,4576593189,Matched
BTXN-800275,TXN-500275,2025-03-21,16070.72,9083310463,Matched
BTXN-800276,TXN-500276,2025-02-28,13656.42,7990536085,Matched
BTXN-800277,TXN-500277,2025-05-24,15717.96,3132661146,Matched
BTXN-800278,TXN-500278,2025-07-18,6420.54,5865322086,Matched
BTXN-800279,TXN-500279,2025-11-01,6153.14,7965023080,Matched
BTXN-800280,TXN-500280,2025-12-07,9434.49,8037178007,Matched
BTXN-800281,TXN-500281,2025-05-08,8672.14,5196787711,Matched
BTXN-800282,TXN-500282,2025-01-24,12740.35,3971721170,Matched
BTXN-800283,TXN-500283,2024-05-27,10251.77,1544582164,Matched
BTXN-800284,TXN-500284,2024-01-21,10340.03,8186079260,Matched
BTXN-800285,TXN-500285,2025-05-14,1585.44,6402388970,Matched
BTXN-800286,TXN-500286,2024-06-01,577.18,9313909347,Matched
BTXN-800287,TXN-500287,2025-09-28,14753.91,8726581952,Matched
BTXN-800288,TXN-500288,2025-03-09,14341.48,6316383066,Matched
BTXN-800289,TXN-500289,2024-07-23,2068.54,7196208753,Matched
BTXN-800290,TXN-500290,2025-06-11,12013.23,6611955557,Matched
BTXN-800291,TXN-500291,2025-04-13,3786.16,7305894208,Matched
BTXN-800292,TXN-500292,2024-07-19,4752.04,4033538069,Matched
BTXN-800293,TXN-500293,2025-05-11,7389.28,3162711284,Matched
BTXN-800294,TXN-500294,2024-10-25,18827.08,2582130251,Matched
BTXN-800295,TXN-500295,2025-09-03,1430.84,1765890110,Partial
BTXN-800296,TXN-UNKN-1485,2024-07-31,9901.64,2042711116,Missing
BTXN-800297,TXN-500297,2025-08-07,17790.48,5265896021,Matched
BTXN-800298,TXN-500298,2025-11-20,16452.6,4430083706,Matched
BTXN-800299,TXN-500299,2024-03-13,2213.8,1614219481,Matched
BTXN-800300,TXN-500300,2025-02-25,19151.66,2284381963,Matched
BTXN-800301,TXN-500301,2024-08-24,7624.31,7182573146,Matched
BTXN-800302,TXN-500302,2024-09-12,15872.44,5354247881,Matched
BTXN-800303,TXN-500303,2025-06-20,17985.89,6009700711,Matched
BTXN-800304,TXN-500304,2025-01-15,16764.86,3055089345,Matched
BTXN-800305,TXN-500305,2024-11-30,17377.36,1563614374,Matched
BTXN-800306,TXN-500306,2024-09-04,16873.41,7095232875,Matched
BTXN-800307,TXN-500307,2025-09-06,7970.27,3885706744,Matched
BTXN-800308,TXN-500308,2024-10-02,19014.15,2382926400,Matched
BTXN-800309,TXN-500309,2030-12-25,12702.01,9135662826,Matched
BTXN-800310,TXN-500310,2024-03-22,6520.35,5963613329,Matched
BTXN-800311,TXN-500311,2025-07-09,17096.54,5060472055,Matched
BTXN-800312,TXN-500312,2024-02-02,6636.73,4096414488,Matched
BTXN-800313,TXN-500313,2024-01-23,18289.64,8726229756,Partial
BTXN-800314,TXN-500314,2024-11-20,18321.31,4464954841,Matched
BTXN-800315,TXN-500315,2024-05-29,3680.94,9477882089,Matched
BTXN-800316,TXN-500316,2024-01-31,17809.54,9634344354,Matched
BTXN-800317,TXN-500317,2024-09-18,14410.53,5572892461,Matched
BTXN-800318,TXN-500318,2025-08-22,4136.1,3432984418,Matched
BTXN-800319,TXN-500319,2024-05-03,528.17,8692921824,Matched
BTXN-800320,TXN-500320,2024-07-28,18540.81,9133851556,Matched
BTXN-800321,TXN-500321,2024-02-10,12414.7,8599752775,Matched
BTXN-800322,TXN-500322,2024-06-14,8186.22,1956656254,Matched
BTXN-800323,TXN-500323,2024-09-25,13199.35,6425077765,Partial
BTXN-800324,TXN-UNKN-9373,2024-01-08,6374.19,3373011091,Missing
BTXN-800325,TXN-500325,2025-09-10,18550.58,2984850930,Matched
BTXN-800326,TXN-UNKN-3338,2024-02-28,7140.09,6621217626,Missing
BTXN-800327,TXN-500327,2025-10-10,19699.68,5597154138,Matched
BTXN-800328,TXN-500328,2024-09-27,12439.98,8829766381,Matched
BTXN-800329,TXN-500329,2024-08-27,17656.05,5953324532,Matched
BTXN-800330,TXN-500330,2025-05-26,8878.33,2828407011,Matched
BTXN-800331,TXN-500331,2024-01-06,5568.94,8168879625,Matched
BTXN-800332,TXN-500332,2025-01-25,17384.7,6366861255,Matched
BTXN-800333,TXN-500333,2025-03-22,12429.29,8660871293,Matched
BTXN-800334,TXN-500334,2025-04-20,12253.63,3228938009,Matched
BTXN-800335,TXN-500335,2024-12-26,517.63,3335088742,Matched
BTXN-800336,TXN-500336,2024-11-19,15909.28,7447431408,Matched
BTXN-800337,TXN-500337,2025-02-25,16411.62,4031717252,Matched
BTXN-800338,TXN-500038,2024-10-28,2592.55,2379677216,Matched
BTXN-800339,TXN-500339,2024-07-13,4481.37,6924200642,Matched
BTXN-800340,TXN-500340,2024-01-11,12432.89,7870725287,Matched
BTXN-800341,TXN-500341,2024-02-16,14927.12,1099532240,Matched
BTXN-800342,TXN-500342,2025-09-17,13409.57,6361590055,Matched
BTXN-800343,TXN-500343,2024-01-02,9942.5,4458317774,Matched
BTXN-800344,TXN-500344,2025-09-28,19319.93,1111838820,Matched
BTXN-800345,TXN-500345,2025-10-20,5434.29,2252429414,Matched
BTXN-800346,TXN-500346,2024-09-28,18070.61,1662129592,Matched
BTXN-800347,TXN-500347,2024-11-01,9572.17,3912199844,Matched
BTXN-800348,TXN-500348,2024-08-25,7900.21,2235958946,Matched
BTXN-800349,TXN-UNKN-1287,2025-08-31,3187.65,6637052011,Missing
BTXN-800350,TXN-500350,2024-04-24,9227.5,3206268499,Matched
BTXN-800351,TXN-500351,2025-05-13,17087.56,6331743207,Matched
BTXN-800352,TXN-500352,2024-02-16,4669.24,1663781650,Matched
BTXN-800353,TXN-500353,2025-08-01,11489.79,5256967844,Matched
BTXN-800354,TXN-500354,2024-08-26,5862.87,8552233671,Matched
BTXN-800355,TXN-500355,2024-02-10,4664.38,5920861532,Matched
BTXN-800356,TXN-500356,2025-08-15,2335.98,1462259374,Matched
BTXN-800357,TXN-500357,2024-10-10,7244.67,6578245148,Matched
BTXN-800358,TXN-500358,2024-11-20,7200.38,8579848416,Matched
BTXN-800359,TXN-500359,2024-05-04,6714.99,2681893843,Matched
BTXN-800360,TXN-500360,2025-10-09,7206.93,9397137318,Matched
BTXN-800361,TXN-500361,2024-07-07,14889.72,1982563229,Matched
BTXN-800362,TXN-500362,2024-07-24,17669.99,1037593824,Matched
BTXN-800363,TXN-500363,2025-07-16,16411.99,1000797215,Matched
BTXN-800364,TXN-500364,2025-04-21,7088.44,6726825121,Matched
BTXN-800365,TXN-500365,2025-09-23,10863.32,6482469885,Matched
BTXN-800366,TXN-500366,2025-06-17,15894.86,2728297482,Matched
BTXN-800367,TXN-500367,2025-04-24,994.07,6141150207,Matched
BTXN-800368,TXN-500368,2024-02-17,18629.09,7753505426,Matched
BTXN-800369,TXN-500369,2024-01-01,387.3,2990948270,Matched
BTXN-800370,TXN-500370,2025-11-23,7198.54,1648015586,Matched
BTXN-800371,TXN-500371,2025-06-20,2133.05,1307842268,Matched
BTXN-800372,TXN-500372,2025-12-23,16344.25,6090166488,Matched
BTXN-800373,TXN-500373,2025-08-04,10095.16,7457449520,Matched
BTXN-800374,TXN-500374,2024-05-15,4618.04,6859429163,Matched
BTXN-800375,TXN-500375,2024-02-12,2765.71,4747325637,Matched
BTXN-800376,TXN-500376,2024-04-19,11923.2,8685898476,Matched
BTXN-800377,TXN-500377,2025-04-07,16272.51,4675559621,Matched
BTXN-800378,TXN-500378,2025-02-18,19993.29,7511106780,Matched
BTXN-800379,TXN-500379,2024-05-23,4360.67,7935562752,Matched
BTXN-800380,TXN-500380,2024-10-14,783.03,1138350152,Matched
BTXN-800381,TXN-500381,2025-04-04,10825.19,2222386144,Matched
BTXN-800382,TXN-500382,2025-11-15,18132.22,2004217010,Matched
BTXN-800383,TXN-500383,2024-09-11,18756.37,3720026272,Matched
BTXN-800384,TXN-500384,2024-04-24,10146.29,9518964432,Matched
